,,,,,,,,,,,,,
,93,Top Side JE Entry for Re-Launch,Translate,View,"This is to be used for uploading the topside JEs for Jan, Feb and Mar of 2021",Journal Entry,Jennifer Spivey,4/20/2021 4:42 pm,10/18/2022 4:45 pm,custimport_topside_je_js, ,Private,
,142,Moving Group Customer Import,Translate,View,Customer import for Moving Group,Customers Only,Jennifer Spivey,3/28/2022 11:45 am,10/18/2022 4:45 pm,custimport_sml_cust_js, ,Public,
,144,Update_Product_Line,Translate,View,Use this to update an existing product line.,Class,Jennifer Spivey,4/27/2022 4:20 pm,10/18/2022 4:45 pm,custimport_porch_pl_update_js, ,Private,
,89,Add Product Line,Translate,View,Add a new Product Line,Class,Jennifer Spivey,1/4/2021 3:17 pm,10/18/2022 4:45 pm,custimport_porch_pl_js, ,Private,
,130,Standard JE w/Vendor Name,Translate,View,Use this when you want to add a vendor name on the line or lines of a standard JE,Journal Entry,Jennifer Spivey,1/13/2022 4:25 pm,10/18/2022 4:45 pm,custimport_porch_je_w_name_js, ,Public,
,90,Standard JE_JS,Translate,View,Use this to upload new standard JE,Journal Entry,Jennifer Spivey,4/1/2021 5:36 pm,10/18/2022 4:45 pm,custimport_porch_je1_js, ,Private,
,121,Porch ICV Vendors,Translate,View,Use this to upload vendors for intercompany AIJE and Distribution Schedules,Vendors,Jennifer Spivey,12/16/2021 8:47 pm,10/18/2022 4:45 pm,custimport_porch_inerco_vend_js, ,Private,
,120,Porch ICC Customers,Translate,View,Use this to upload Intercompany Customers to be used for AIJE and Distribution Schedules,Customers Only,Jennifer Spivey,12/16/2021 8:37 pm,10/18/2022 4:45 pm,custimport_porch_inerco_cust_js, ,Private,
,131,FAMAssetAccountUpdate,Translate,View,Use this to add or update accounts on a asset item,Custom Record,Jennifer Spivey,1/24/2022 9:11 am,10/18/2022 4:45 pm,custimport_porch_fam_acct_update_js, ,Private,
,129,Advanced Interco JE w/Vendor Name,Translate,View,Use this import when you want to add a name on the line level of the AIJE.,Advanced Intercompany Journal Entry,Jennifer Spivey,1/13/2022 1:42 pm,10/18/2022 4:45 pm,custimport_porch_aije_w_name_js, ,Public,
,40,CSV Integrator : Journal Entry,Translate,View, ,Journal Entry,James McManus,2/27/2020 2:01 pm,10/18/2022 4:45 pm,custimport_nsts_csvi_je_v2_1_0,297909,Private,
,42,CSV Integrator : Expense Report,Translate,View, ,Expense Report,James McManus,2/27/2020 2:01 pm,10/18/2022 4:45 pm,custimport_nsts_csvi_er_v2_1_0,297909,Private,
,54,Cash Sale - Settlements - CSVi,Translate,View,Cash Sale Import - Settlement Import from Sales data,Cash Sale,Brian Morehouse,3/20/2020 8:12 am,10/18/2022 4:45 pm,custimport_nsts_csvi_cl_v2_1_0, ,Public,
,99,Natural Account Add or Update,Translate,View,"Use this to add, update or inactivate a Natural Account.",Chart of Accounts,Jennifer Spivey,5/14/2021 2:24 pm,10/18/2022 4:45 pm,custimport_nat_acct_js, ,Public,
,127,Moving - Vendor Upload,Translate,View, ,Vendors,Jennifer Spivey,1/5/2022 1:14 pm,10/18/2022 4:45 pm,custimport_moving_vend_up_js, ,Public,
,106,Journal Entry Upload EKY,Translate,View,For accounting and finance journal entry upload,Journal Entry,Jennifer Spivey,7/6/2021 1:40 pm,10/18/2022 4:45 pm,custimport_je_upload_js_eky, ,Private,
